"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"22223 Manufacture of plastic windows and doors","5Y2020 2020",1569357,1519564,130,32482,17181,1568889,582081,986808,868606,793,17561,631,96398,2819,73744
"22229 Manufacture of other fabricated structural plastic products","5Y2020 2020",644620,636308,2572,2507,3233,641497,236125,405372,351132,1030,14570,352,35107,3181,11138
"2223 Manufacture of plastic articles for the packing of goods","5Y2020 2020",8620199,8488595,15711,115598,295,8596525,3558678,5037847,3951051,9173,242708,3418,779409,52088,334560
"22231 Manufacture of plastic sacks, bags and similar products","5Y2020 2020",2030154,2007072,762,22320,0,2028833,720430,1308403,1130789,3793,41616,676,122742,8787,73399
"22232 Manufacture of plastic cases, boxes and containers","5Y2020 2020",6590045,6481523,14949,93278,295,6567692,2838248,3729444,2820262,5380,201092,2742,656667,43301,261161
"2224 Manufacture of plastic products for fabricating of machine","5Y2020 2020",16619452,16262948,21689,325978,8837,16625701,5203538,11422163,9045491,14541,262522,8739,2009090,81780,1258443
"22241 Manufacture of plastic products for fabricating of transportation fixture","5Y2020 2020",11931700,11686734,16203,226993,1770,11918925,3497105,8421820,6606030,12342,181797,6655,1552502,62494,1007280
"22249 Manufacture of other plastic products for fabricating of machine","5Y2020 2020",4687752,4576214,5486,98985,7067,4706776,1706433,3000343,2439461,2199,80725,2084,456588,19286,251163
"2225 Manufacture of foamed plastic products","5Y2020 2020",3983800,3952145,366,25622,5667,3980682,1571167,2409515,2115257,55611,71294,7846,140095,19412,221151
"22251 Manufacture of polystyrene foam products","5Y2020 2020",2477099,2472712,163,4224,0,2471190,962839,1508351,1304655,47951,51983,6689,84550,12523,139179
"22259 Manufacture of other foamed plastic products","5Y2020 2020",1506701,1479433,203,21398,5667,1509492,608328,901164,810602,7660,19311,1157,55545,6889,81972
"2229 Manufacture of other plastic products","5Y2020 2020",6719018,6508260,3972,206733,53,6746906,2820357,3926549,3371940,40228,117677,14016,350279,32409,434934
"22291 Manufacture of self-adhesive plastic products","5Y2020 2020",2725315,2684341,1624,39342,8,2741673,1071481,1670192,1490870,16604,38851,4558,108189,11120,156186
"22292 Manufacture of plastic laminating, coating and other surface processing products","5Y2020 2020",1587535,1459405,1799,126305,26,1589289,686425,902864,753472,6617,36812,2554,90808,12601,127668
"22299 Manufacture of other plastic products n.e.c.","5Y2020 2020",2406168,2364514,549,41086,19,2415944,1062451,1353493,1127598,17007,42014,6904,151282,8688,151080
"23 Manufacture of other non-metallic mineral products","5Y2020 2020",32933881,32419969,97633,414224,2055,32837469,14401817,18435652,14886655,816165,1025737,49131,1241658,416306,1308385
"231 Manufacture of glass and glass products","5Y2020 2020",8109028,7973393,388,133496,1751,8029691,3882236,4147455,3180243,198089,289929,9367,366221,103606,273247
"2311 Manufacture of flat glass and related products","5Y2020 2020",3277190,3207083,121,68235,1751,3282421,1333874,1948547,1550316,100468,93391,2768,171124,30480,113844
"23111 Manufacture of flat glass","5Y2020 2020",681183,681183,0,0,0,676965,342304,334661,186583,98222,25825,823,8329,14879,17003
"23112 Manufacture of safety glass","5Y2020 2020",1269032,1214080,121,53080,1751,1269439,538185,731254,578753,882,46251,1040,91433,12895,64705
"23119 Manufacture of other products made of flat glass","5Y2020 2020",1326975,1311820,0,15155,0,1336017,453385,882632,784980,1364,21315,905,71362,2706,32136
"2312 Manufacture of industrial glass","5Y2020 2020",3954080,3889484,230,64366,0,3913096,2137736,1775360,1376696,41062,158447,4284,130132,64739,149145
"23121 Manufacture of basic glass products, glass fibers and optical glass","5Y2020 2020",753318,736047,230,17041,0,760031,316708,443323,318126,31649,37208,793,36206,19341,47166
"23122 Manufacture of glass products for displays","5Y2020 2020",3098656,3057813,0,40843,0,3047854,1760716,1287138,1023667,9284,118242,3172,87563,45210,97578
"23129 Manufacture of other industrial glass products","5Y2020 2020",102106,95624,0,6482,0,105211,60312,44899,34903,129,2997,319,6363,188,4401
"2319 Manufacture of other glass products","5Y2020 2020",877758,876826,37,895,0,834174,410626,423548,253231,56559,38091,2315,64965,8387,10258
"23191 Manufacture of household glassware","5Y2020 2020",164184,163289,0,895,0,132094,52439,79655,46233,9685,6566,275,15471,1425,628
"23192 Manufacture of bottles and other containers made of glass","5Y2020 2020",711745,711708,37,0,0,700343,357630,342713,205932,46872,31499,2040,49426,6944,9630
"23199 Manufacture of other glass products n.e.c.","5Y2020 2020",1829,1829,0,0,0,1737,557,1180,1066,2,26,0,68,18,0
"232 Manufacture of refractory and non-refractory ceramic products","5Y2020 2020",2358543,2306051,229,52081,182,2334551,1097387,1237164,890384,87767,65289,6473,148435,38816,350792
"2321 Manufacture of refractory ceramic products","5Y2020 2020",1222793,1193526,0,29085,182,1201421,467674,733747,531044,33288,19657,2649,118616,28493,193660
"23211 Manufacture of shaped refractory ceramic products","5Y2020 2020",602459,590676,0,11601,182,592304,233471,358833,247453,25972,10936,1730,61163,11579,43483
"23212 Manufacture of unshaped refractory ceramic products","5Y2020 2020",620334,602850,0,17484,0,609117,234203,374914,283591,7316,8721,919,57453,16914,150177
"2322 Manufacture of non-refractory porcelain and ceramic products","5Y2020 2020",745223,735487,229,9507,0,752585,424132,328453,255373,12218,24851,2380,27654,5977,130365
"23221 Manufacture of household or ornamental pottery and ceramic ware","5Y2020 2020",121750,118271,34,3445,0,120350,71285,49065,39020,3824,1878,760,2951,632,9375
"23222 Manufacture of sanitary and industrial ceramic ware","5Y2020 2020",609689,606416,194,3079,0,618522,344574,273948,212529,8191,22765,1620,23537,5306,118834
"23229 Manufacture of other non-refractory porcelain and ceramic products","5Y2020 2020",13784,10800,1,2983,0,13713,8273,5440,3824,203,208,0,1166,39,2156
"2323 Manufacture of structural non-refractory clay and ceramic products","5Y2020 2020",390527,377038,0,13489,0,380545,205581,174964,103967,42261,20781,1444,2165,4346,26767
"23231 Manufacture of non-refractory clay bricks, blocks and similar products","5Y2020 2020",147928,146553,0,1375,0,144278,81369,62909,38506,13935,6709,1304,1063,1392,16709
"23232 Manufacture of non-refractory ceramic tiles and similar products","5Y2020 2020",236301,224187,0,12114,0,229328,119527,109801,63609,28322,13968,124,852,2926,10044
"23239 Manufacture of other structural non-refractory clay and ceramic products","5Y2020 2020",6298,6298,0,0,0,6939,4685,2254,1852,4,104,16,250,28,14
"233 Manufacture of cement, lime, plaster and its products","5Y2020 2020",18785566,18540648,86490,158306,122,18791295,7681645,11109650,9213719,470707,570873,25933,614510,213908,503290
"2331 Manufacture of cement, lime and plaster","5Y2020 2020",4354581,4244543,67799,42239,0,4342922,1786647,2556275,1565933,333482,416870,4323,126924,108743,33611
"23311 Manufacture of cement","5Y2020 2020",3578090,3491209,67799,19082,0,3570583,1514292,2056291,1233232,268398,392906,2286,71318,88151,22054
"23312 Manufacture of lime and plaster","5Y2020 2020",776491,753334,0,23157,0,772339,272355,499984,332701,65084,23964,2037,55606,20592,11557
"2332 Manufacture of articles of concrete, ready-mixed concrete and other cement and plaster products","5Y2020 2020",14430985,14296105,18691,116067,122,14448373,5894998,8553375,7647786,137225,154003,21610,487586,105165,469679
"23321 Manufacture of non-refractory mortar","5Y2020 2020",613265,602571,0,10691,3,611836,261587,350249,297807,19850,8424,4569,16785,2814,23353
"23322 Manufacture of ready-mixed concrete","5Y2020 2020",9392589,9381532,6345,4711,1,9391602,3618097,5773505,5477784,51974,88566,10478,90019,54684,157604
"23323 Manufacture of plaster products and related products","5Y2020 2020",559684,556730,135,2819,0,557053,280086,276967,214930,31970,10008,1740,7866,10453,809
"23324 Manufacture of concrete tiles, roofing tiles, bricks and blocks","5Y2020 2020",1529443,1498362,4814,26255,12,1540169,726241,813928,677712,6849,23440,1074,88720,16133,44980
"23325 Manufacture of concrete pipes and other structral concrete products","5Y2020 2020",2227442,2156828,1209,69299,106,2237248,953094,1284154,934961,25800,22191,3677,276967,20558,242089
"23329 Manufacture of other concrete and similar products n.e.c.","5Y2020 2020",108562,100082,6188,2292,0,110465,55893,54572,44592,782,1374,72,7229,523,844
"239 Manufacture of other non-metallic mineral products","5Y2020 2020",3680744,3599877,10526,70341,0,3681932,1740549,1941383,1602309,59602,99646,7358,112492,59976,181056
"2391 Cutting, shaping and finishing of stone","5Y2020 2020",505948,489980,772,15196,0,498534,228501,270033,217325,3070,12100,335,32432,4771,25751
"23911 Manufacture of stone products for construction","5Y2020 2020",399920,395017,772,4131,0,391882,175653,216229,174190,2256,10231,262,25131,4159,24828
"23919 Manufacture of other stone products","5Y2020 2020",106028,94963,0,11065,0,106652,52848,53804,43135,814,1869,73,7301,612,923
"2399 Manufacture of other non-metallic mineral products n.e.c.","5Y2020 2020",3174796,3109897,9754,55145,0,3183398,1512048,1671350,1384984,56532,87546,7023,80060,55205,155305
"23991 Manufacture of asphalt concrete and related products","5Y2020 2020",1026774,1017623,5629,3522,0,1023633,475164,548469,471622,27290,27353,2760,8528,10916,19741
"23992 Manufacture of abrasive articles","5Y2020 2020",437908,421727,1749,14432,0,441611,201856,239755,195019,4349,7756,1573,26056,5002,54763
"23993 Manufacture of non-metallic crushed mineral products","5Y2020 2020",739330,722354,2302,14674,0,748759,389252,359507,284081,9815,30076,174,9216,26145,22570
"23994 Manufacture of mineral wools and other similar products","5Y2020 2020",417220,407718,0,9502,0,414090,188584,225506,174040,11849,8163,1094,23128,7232,21578
"23995 Manufacture of carbon fibers","5Y2020 2020",92362,90512,0,1850,0,86919,37150,49769,41944,243,2554,38,3523,1467,2317
"23999 Manufacture of other non-metallic minerals n.e.c.","5Y2020 2020",461202,449963,74,11165,0,468386,220042,248344,218278,2986,11644,1384,9609,4443,34336
"24 Manufacture of basic metals","5Y2020 2020",132964804,130220965,986643,1726363,30833,132856485,30398339,102458146,89365198,2131508,4085981,235847,4686148,1953464,6048373
"241 Manufacture of basic iron and steel","5Y2020 2020",86985230,85012951,663620,1282053,26606,86480635,20893106,65587529,55656389,1864528,2770515,179404,3550281,1566412,4152851
"2411 Manufacture of basic iron, steel and ferro-alloys","5Y2020 2020",2566173,2449103,5729,111341,0,2568131,556818,2011313,1548047,10710,336765,1187,89928,24676,323378
"24111 Manufacture of basic iron","5Y2020 2020",80030,22724,463,56843,0,80361,54634,25727,14211,3190,1009,262,5866,1189,20
"24112 Manufacture of basic steel","5Y2020 2020",362545,343831,242,18472,0,351866,72635,279231,222806,3907,35105,231,10538,6644,63592
"24113 Manufacture of ferro-alloys","5Y2020 2020",1928796,1909689,4256,14851,0,1939282,334178,1605104,1223433,3505,295491,682,66731,15262,243714
"24119 Manufacture of other basic iron and steel","5Y2020 2020",194802,172859,768,21175,0,196622,95371,101251,87597,108,5160,12,6793,1581,16052
"2412 Manufacture of steel products by rolling, extrusion and drawing","5Y2020 2020",56766191,55974044,486146,305979,22,56400377,13291294,43109083,35573051,1560783,2056510,123342,2429239,1366158,1031488
"24121 Manufacture of steel products by hot rolling, hot extrusion and hot drawing","5Y2020 2020",50740180,50062759,464812,212609,0,50397007,11920831,38476176,31253128,1510814,1934192,113681,2351521,1312840,473398
"24122 Manufacture of steel products by cold rolling, cold extrusion and cold drawing","5Y2020 2020",3110195,3029496,14327,66372,0,3103211,613341,2489870,2381823,17017,34941,1430,40311,14348,385860
"24123 Manufacture of steel wire","5Y2020 2020",2915816,2881789,7007,26998,22,2900159,757122,2143037,1938100,32952,87377,8231,37407,38970,172230
"2413 Manufacture of pipes, tubes and hollow profiles, of iron or steel","5Y2020 2020",10600861,10227386,64775,291471,17229,10562149,3121052,7441097,6472329,62347,142046,12337,688955,63083,963827
"24131 Manufacture of tubes and pipes, of cast iron","5Y2020 2020",570040,530278,2707,35672,1383,570601,223462,347139,280041,10475,14138,2471,37639,2375,22912
"24132 Manufacture of pipes and tubes, of steel","5Y2020 2020",4696769,4500049,30346,165935,439,4634692,1265985,3368707,3018820,15304,62192,2204,248355,21832,486086
"24133 Manufacture of pipe and tube fittings and related products, of steel","5Y2020 2020",5334052,5197059,31722,89864,15407,5356856,1631605,3725251,3173468,36568,65716,7662,402961,38876,454829
"2419 Manufacture of other basic iron and steel","5Y2020 2020",17052005,16362418,106970,573262,9355,16949978,3923942,13026036,12062962,230688,235194,42538,342159,112495,1834158
"24191 Manufacture of coated, plated, coloured and other processed steel products","5Y2020 2020",9667873,9242407,90119,327890,7457,9575299,2478135,7097164,6340917,225226,204059,38094,194677,94191,183313
"24199 Manufacture of other basic iron and steel n.e.c.","5Y2020 2020",7384132,7120011,16851,245372,1898,7374679,1445807,5928872,5722045,5462,31135,4444,147482,18304,1650845
"242 Manufacture of basic precious and non-ferrous metals","5Y2020 2020",40923342,40295199,311743,313180,3220,41373689,7676173,33697516,31385700,244595,1040801,44302,637836,344282,1612151
"2421 Manufacture of smelting, refining and alloys of non-ferrous metals","5Y2020 2020",22250161,21830706,284514,132323,2618,22683780,3566133,19117647,18028568,124392,545763,19529,136541,262854,479377
"24211 Manufacture of smelting, refining and alloys of copper","5Y2020 2020",8714787,8698932,2738,13117,0,8921010,657355,8263655,8026980,24498,79086,1869,83908,47314,206721
"24212 Manufacture of smelting, refining and alloys of aluminum","5Y2020 2020",3615258,3531407,15322,67223,1306,3604227,798822,2805405,2649515,57850,35039,11110,28761,23130,236581
"24213 Manufacture of smelting, refining and alloys of lead and zinc","5Y2020 2020",7937042,7651631,265803,18296,1312,8083199,1793286,6289913,5609820,41293,421372,6262,20342,190824,15824
"24219 Manufacture of smelting, refining and alloys of other non-ferrous metals","5Y2020 2020",1983074,1948736,651,33687,0,2075344,316670,1758674,1742253,751,10266,288,3530,1586,20251
"2422 Manufacture of non-ferrous metal products by rolling, extrusion and drawing","5Y2020 2020",18038114,17857999,27163,152350,602,18053854,3909988,14143866,12956829,119440,482341,22503,483788,78965,1092944
"24221 Manufacture of copper products by rolling, extrusion and drawing","5Y2020 2020",9052648,8962144,8917,81159,428,9070425,1475488,7594937,7064676,29890,326423,8739,141413,23796,175149
"24222 Manufacture of aluminum products by rolling, extrusion and drawing","5Y2020 2020",7217335,7141226,14211,61724,174,7206902,2068547,5138355,4535152,82921,143168,13184,313176,50754,871878
"24229 Manufacture of other non-ferrous metal products by rolling, extrusion and drawing","5Y2020 2020",1768131,1754629,4035,9467,0,1776527,365953,1410574,1357001,6629,12750,580,29199,4415,45917
"2429 Manufacture of other basic precious and non-ferrous metals","5Y2020 2020",635067,606494,66,28507,0,636055,200052,436003,400303,763,12697,2270,17507,2463,39830
"24290 Manufacture of other basic precious and non-ferrous metals","5Y2020 2020",635067,606494,66,28507,0,636055,200052,436003,400303,763,12697,2270,17507,2463,39830
"243 Casting of metals","5Y2020 2020",5056232,4912815,11280,131130,1007,5002161,1829060,3173101,2323109,22385,274665,12141,498031,42770,283371
"2431 Casting of iron and steel","5Y2020 2020",3608770,3518210,6000,83553,1007,3554218,1344654,2209564,1575975,13483,232650,4635,348385,34436,278715
"24311 Casting of pig iron","5Y2020 2020",2406023,2340851,2107,62958,107,2347667,863110,1484557,1041145,7342,173405,2784,235876,24005,63184
"24312 Casting of steel","5Y2020 2020",1202747,1177359,3893,20595,900,1206551,481544,725007,534830,6141,59245,1851,112509,10431,215531
"2432 Casting of non-ferrous metals","5Y2020 2020",1447462,1394605,5280,47577,0,1447943,484406,963537,747134,8902,42015,7506,149646,8334,4656
"24321 Casting of aluminum","5Y2020 2020",1064605,1030604,5054,28947,0,1065383,360718,704665,523599,6228,33547,7223,127456,6612,4199
"24322 Casting of copper","5Y2020 2020",282754,276287,218,6249,0,283243,83504,199739,178867,2493,5208,277,11617,1277,3
"24329 Casting of other non-ferrous metals","5Y2020 2020",100103,87714,8,12381,0,99317,40184,59133,44668,181,3260,6,10573,445,454
"25 Manufacture of fabricated metal products, except machinery and furniture","5Y2020 2020",70862697,63904291,184140,6729597,44669,70757054,28155579,42601475,33477508,265916,1088643,65893,7313956,389559,4065899
"251 Manufacture of structural metal products, tanks, reservoirs and steam generators","5Y2020 2020",23399348,22811675,24662,541102,21909,23363096,8580020,14783076,11403664,60524,185954,18021,3004211,110702,1601767
"2511 Manufacture of structural metal products","5Y2020 2020",16696898,16244336,18843,413593,20126,16711816,5961273,10750543,8686173,28915,127230,11710,1848095,48420,1280795
"25111 Manufacture of metal doors, windows, shutters and related products","5Y2020 2020",2193446,2142158,2346,41948,6994,2206365,919854,1286511,1046654,5625,13238,855,216626,3513,161574
"25112 Manufacture of structural metal sheet products and metal works used on building","5Y2020 2020",5280217,5198119,4636,68641,8821,5276002,1848766,3427236,2950208,6936,44079,3166,408422,14425,381611
"25113 Manufacture of metal frameworks or skeletons for land structure and parts thereof","5Y2020 2020",5902948,5680105,9545,211832,1466,5900884,2128922,3771962,2812576,9265,45847,3422,883486,17366,605198
"25114 Manufacture of metal frameworks or skeletons for marine structure and parts thereof","5Y2020 2020",855748,795045,197,60191,315,865810,306297,559513,323349,5521,7075,259,218183,5126,27815
"25119 Manufacture of other structural metal products","5Y2020 2020",2464539,2428909,2119,30981,2530,2462755,757434,1705321,1553386,1568,16991,4008,121378,7990,104597
"2512 Manufacture of industrial heating boilers, tanks, reservoirs and containers of metals","5Y2020 2020",2937030,2825847,4689,104711,1783,2930304,1117932,1812372,1266352,7654,25233,1748,496140,15245,312986
"25121 Manufacture of industrial heating boilers and radiators","5Y2020 2020",400014,390764,0,9250,0,403097,165760,237337,185670,794,4672,221,44373,1607,66245
"25122 Manufacture of tanks and reservoirs","5Y2020 2020",1759400,1692048,2121,63448,1783,1742019,680794,1061225,743488,3846,12395,837,292731,7928,209562
"25123 Manufacture of of metal containers for compressed or liquefied gas","5Y2020 2020",777616,743035,2568,32013,0,785188,271378,513810,337194,3014,8166,690,159036,5710,37179
"2513 Manufacture of nuclear reactors and steam generators","5Y2020 2020",3765420,3741492,1130,22798,0,3720976,1500815,2220161,1451139,23955,33491,4563,659976,47037,7986
"25130 Manufacture of nuclear reactors and steam generators","5Y2020 2020",3765420,3741492,1130,22798,0,3720976,1500815,2220161,1451139,23955,33491,4563,659976,47037,7986
"252 Manufacture of weapons and ammunition","5Y2020 2020",5251283,5233734,363,17186,0,5272704,2001032,3271672,2961379,4037,30833,3049,257155,15219,38866
"2520 Manufacture of weapons and ammunition","5Y2020 2020",5251283,5233734,363,17186,0,5272704,2001032,3271672,2961379,4037,30833,3049,257155,15219,38866
"25200 Manufacture of weapons and ammunition","5Y2020 2020",5251283,5233734,363,17186,0,5272704,2001032,3271672,2961379,4037,30833,3049,257155,15219,38866
"259 Manufacture of other fabricated metal products; metalworking service activities","5Y2020 2020",42212066,35858882,159115,6171309,22760,42121254,17574527,24546727,19112465,201355,871856,44823,4052590,263638,2425266
"2591 Forging, pressing, stamping and roll-forming of metal; powder metallurgy","5Y2020 2020",9671605,9366339,70109,232388,2769,9662092,3290218,6371874,4821631,82719,210863,6989,1173533,76139,224853
"25911 Manufacture of powder metallurgic products","5Y2020 2020",337060,328971,24,8065,0,346799,168056,178743,117813,1760,9703,711,46023,2733,1090
"25912 Manufacture of forging products","5Y2020 2020",3172953,3076486,31897,64370,200,3171983,844109,2327874,1639047,73066,114285,3485,455325,42666,93688
"25913 Manufacture of pressing products for motor vehicles","5Y2020 2020",4084026,3939279,31006,111788,1953,4052357,1473207,2579150,2044455,5534,65591,2064,438339,23167,46719
"25914 Manufacture of other pressing products","5Y2020 2020",2077566,2021603,7182,48165,616,2090953,804846,1286107,1020316,2359,21284,729,233846,7573,83356
"2592 Treatment and coating of metals; machining","5Y2020 2020",13125636,7546306,24973,5547895,6462,13113672,6326967,6786705,5146535,69203,332651,20429,1148800,69087,1007284
"25921 Heat treatment of metals","5Y2020 2020",1570475,983771,4233,582471,0,1567992,726862,841130,579941,16469,106777,7949,116315,13679,40892
"25922 Plating of metals","5Y2020 2020",1293637,4611,2566,1286400,60,1293510,723541,569969,406142,12773,50350,5296,86712,8696,10922
"25923 Coating and similar treatment of metals","5Y2020 2020",2321330,8989,1599,2310728,14,2321452,1425711,895741,579952,21266,61199,3326,216538,13460,19026
"25924 Engraving, cutting and similar processing of metals","5Y2020 2020",6566294,5734662,13847,816164,1621,6555779,2692943,3862836,3137113,13201,89736,2908,593404,26474,885367
"25929 Other metalworking n.e.c.","5Y2020 2020",1373900,814273,2728,552132,4767,1374939,757910,617029,443387,5494,24589,950,135831,6778,51077
"2593 Manufacture of cutlery, hand tools and general hardware","5Y2020 2020",6074004,5954058,18550,94047,7349,6031238,2707888,3323350,2532540,5299,83874,3263,668052,30322,428565
"25931 Manufacture of cutlery","5Y2020 2020",409399,404002,210,5170,17,408702,142976,265726,111399,200,3742,106,149535,744,6402
"25932 Manufacture of general hardware","5Y2020 2020",3129828,3044593,17536,61038,6661,3146240,1166161,1980079,1620247,2368,30883,1336,314837,10408,131295
"25933 Manufacture of non-power-driven hand tools","5Y2020 2020",125931,125435,192,304,0,126274,55606,70668,61622,77,1627,27,6915,400,13920
"25934 Manufacture of saws, saw blades and interchangeable tools","5Y2020 2020",2408846,2380028,612,27535,671,2350022,1343145,1006877,739272,2654,47622,1794,196765,18770,276948
"2594 Manufacture of metal fasteners, springs and articles made of metal wires","5Y2020 2020",6552550,6373209,14301,162275,2765,6518833,2530712,3988121,3143677,23110,124631,8359,643593,44751,578597
"25941 Manufacture of bolts and screws","5Y2020 2020",3421983,3309086,9991,102841,65,3415070,1323585,2091485,1572401,9006,64124,4552,427518,13884,122046
"25942 Manufacture of other metal fasteners and screw products","5Y2020 2020",639053,621779,1260,16014,0,641392,265111,376281,317804,827,10456,1261,42071,3862,55044
"25943 Manufacture of metal springs","5Y2020 2020",1146693,1126491,812,19015,375,1128996,458001,670995,506180,6539,20951,947,123467,12911,291784
"25944 Manufacture of articles made of metal wires","5Y2020 2020",1344821,1315853,2238,24405,2325,1333375,484015,849360,747292,6738,29100,1599,50537,14094,109723
"2599 Manufacture of other febricated metal products","5Y2020 2020",6788271,6618970,31182,134704,3415,6795419,2718742,4076677,3468082,21024,119837,5783,418612,43339,185967
"25991 Manufacture of metal cans and other containers","5Y2020 2020",3186569,3081318,28471,75133,1647,3192554,1262877,1929677,1666589,10656,58133,3503,165336,25460,45367
"25992 Manufacture of hand-operated kitchen appliances and metal ware","5Y2020 2020",1047821,1021846,610,25104,261,1048522,428406,620116,476835,3107,14421,579,122101,3073,36657
"25993 Manufacture of metal sanitary ware","5Y2020 2020",209684,207501,1460,723,0,207945,78260,129685,118239,170,1796,134,8847,499,17306
"25994 Manufacture of metal sign boards including road signs","5Y2020 2020",342618,340794,0,1824,0,343070,151210,191860,168790,173,1664,75,20492,666,20171
"25995 Manufacture of coated rods and cored wire, of base metal for soldering or welding","5Y2020 2020",855419,852739,0,1173,1507,860878,321719,539159,496336,3093,23545,878,10403,4904,54648
"25999 Manufacture of other febricated and processed metal products n.e.c","5Y2020 2020",1146160,1114772,641,30747,0,1142450,476270,666180,541293,3825,20278,614,91433,8737,11818
"26 Manufacture of electronic components, computer; visual, sounding and communication equipment","5Y2020 2020",261453400,257676022,606490,3030622,140266,261481322,137770624,123710698,90846996,1187864,5057571,605027,20609401,5403839,38673070
"261 Manufacture of semiconductor","5Y2020 2020",141169041,140372735,357822,423113,15371,140962192,91371579,49590613,32822074,1012083,2745385,449035,7690280,4871756,26007741
"2611 Manufacture of electronic integrated circuits","5Y2020 2020",130188942,129612191,343374,230081,3296,129971390,85760854,44210536,29420809,961430,2506818,411748,6480729,4429002,24758871
"26111 Manufacture of memory electronic integrated circuits","5Y2020 2020",113330578,112914829,330729,82363,2657,112953407,76903917,36049490,22934970,873034,2177153,365562,5655780,4042991,21922154
"26112 Manufacture of non-memory electronic integrated circuits","5Y2020 2020",16858364,16697362,12645,147718,639,17017983,8856937,8161046,6485839,88396,329665,46186,824949,386011,2836717
"2612 Manufacture of diodes, transistors and similar semi-conductor devices","5Y2020 2020",10980099,10760544,14448,193032,12075,10990802,5610725,5380077,3401265,50653,238567,37287,1209551,442754,1248870
"26121 Manufacture of light emitting diodes","5Y2020 2020",3259487,3234629,2877,21967,14,3256137,1601966,1654171,723416,12931,45815,4962,800918,66129,1067816
"26129 Manufacture of other diodes, transistors and similar semi-conductor devices","5Y2020 2020",7720612,7525915,11571,171065,12061,7734665,4008759,3725906,2677849,37722,192752,32325,408633,376625,181054
"262 Manufacture of electronic components","5Y2020 2020",82864530,80593993,230569,2031061,8907,82824095,32072197,50751898,36540102,147179,2182179,141055,11329926,411457,2233346
"2621 Manufacture of flat display components","5Y2020 2020",59405832,59083475,69230,251888,1239,59358859,21605307,37753552,27332100,92218,1769282,94042,8309329,156581,948061
"26211 Manufacture of liquid crystal display components","5Y2020 2020",31324380,31020687,68430,234714,549,31110688,10339953,20770735,11908195,90350,733533,93124,7793438,152095,859704
"26212 Manufacture of organic light emitting diodes display components","5Y2020 2020",27358549,27358549,0,0,0,27528283,10936968,16591315,15121228,164,1022049,41,447639,194,1183
"26219 Manufacture of other display component","5Y2020 2020",722903,704239,800,17174,690,719888,328386,391502,302677,1704,13700,877,68252,4292,87174
"2622 Manufacture of bare printed circuit boards and loading of electronic components onto pcb","5Y2020 2020",14527065,12796630,143409,1584081,2945,14494097,6093697,8400400,5574235,34726,287185,41360,2304999,157895,703674
"26221 Manufacture of laminated plates for printed circuit boards","5Y2020 2020",2213598,1878356,15404,319657,181,2231153,1139867,1091286,801942,8900,49224,3383,207213,20624,19732
"26222 Manufacture of rigid printed circuit boards","5Y2020 2020",5548408,4987527,61681,499109,91,5495933,2248993,3246940,1937295,16229,118339,19159,1093148,62770,292554
"26223 Manufacture of flexible and other printed circuit boards","5Y2020 2020",3722521,3268272,63241,388947,2061,3709318,1553293,2156025,1191780,6293,86019,15732,794285,61916,24373
"26224 Manufacture of loading of electronic components onto PCB","5Y2020 2020",3042538,2662475,3083,376368,612,3057693,1151544,1906149,1643218,3304,33603,3086,210353,12585,367015
"2629 Manufacture of other electronic components, except semiconductor and electronic integrated circuits","5Y2020 2020",8931633,8713888,17930,195092,4723,8971139,4373193,4597946,3633767,20235,125712,5653,715598,96981,581611
"26291 Manufacture of electronic capacitors","5Y2020 2020",3874221,3864456,5507,4258,0,3876635,2013053,1863582,1413676,11545,63236,2592,329974,42559,93279
"26292 Manufacture of electronic resistors","5Y2020 2020",279451,274391,1643,3417,0,280091,139381,140710,121708,78,2188,195,16047,494,6579
"26293 Manufacture of smart cards with magnetic stripe or chip","5Y2020 2020",354709,337975,585,16111,38,360290,171408,188882,144792,691,2873,62,39429,1035,6501
"26294 Manufacture of electronic coils, transformers and other inductors","5Y2020 2020",586699,579458,3082,3726,433,587175,234635,352540,283210,447,3281,334,64216,1052,130757
"26295 Manufacture of electronic perception sensors","5Y2020 2020",1432518,1386761,266,42589,2902,1445776,626693,819083,702069,720,9369,857,101420,4648,159360
"26299 Manufacture of electronic tubes, interface cards and other electronic components n.e.c.","5Y2020 2020",2404035,2270847,6847,124991,1350,2421172,1188023,1233149,968312,6754,44765,1613,164512,47193,185135
"263 Manufacture of computers and peripheral equipment","5Y2020 2020",2991224,2877491,7984,66897,38852,2999396,1036316,1963080,1802970,3208,10617,837,133554,11894,331900
"2631 Manufacture of computer","5Y2020 2020",969878,950554,276,9728,9320,960571,260524,700047,683989,308,629,393,13481,1247,117540
